,Location,total_items,total_orders,avg_del_time,orders,items,street_address
17,"(60.158, 24.944)",98,31,32.34,>max,>max,"Tehtaankatu 24, 00140 Helsinki, Finland"
18,"(60.158, 24.945)",47,18,31.625,>max,>max,"Kaptensgatan 20, 00140 Helsingfors, Finland"
19,"(60.158, 24.92)",88,28,33.458333333333336,>max,>max,"Itäinen Vaihdekuja 6, 00220 Helsinki, Finland"
20,"(60.158, 24.942)",62,17,32.625,>max,>max,"Huvilakuja 23, 00150 Helsinki, Finland"
21,"(60.158, 24.948)",71,26,35.75,>max,>max,"Tehtaankatu 16, 00140 Helsinki, Finland"
22,"(60.158, 24.949)",32,14,28.875,>75% & <max,>25% & <75%,"Neitsytpolku 10b, 00140 Helsinki, Finland"
23,"(60.158, 24.932)",36,15,36.642857142857146,>75% & <max,>25% & <75%,"Telakkakatu 6d, 00150 Helsinki, Finland"
24,"(60.158, 24.955)",10,3,28.666666666666668,<25%,>25% & <75%,"Iso Puistotie 1, 00140 Helsinki, Finland"
25,"(60.158, 24.951)",51,19,30.133333333333333,>max,>max,"Petersgatan 3, 00140 Helsingfors, Finland"
26,"(60.158, 24.912)",38,14,31.653846153846153,>75% & <max,>75% & <max,"Medelhavsgatan 24, 00220 Helsingfors, Finland"
27,"(60.158, 24.94)",18,6,30.0,>25% & <75%,>25% & <75%,"Tehtaankatu 32A, 00150 Helsinki, Finland"
28,"(60.158, 24.933)",87,25,33.285714285714285,>max,>max,"Telakkakatu 6d, 00150 Helsinki, Finland"
29,"(60.158, 24.914)",63,23,34.274509803921575,>max,>max,"Medelhavsgatan 20, 00220 Helsingfors, Finland"
30,"(60.158, 24.939)",59,19,35.11764705882353,>max,>max,"Tehtaankatu 23, 00150 Helsinki, Finland"
31,"(60.158, 24.947)",70,27,33.56521739130435,>max,>max,"Tehtaankatu 20, 00140 Helsinki, Finland"
32,"(60.158, 24.909)",5,1,27.0,<25%,<25%,"Heino Kasken katu 4d, 00180 Helsinki, Finland"
33,"(60.158, 24.918)",39,16,30.964285714285715,>75% & <max,>75% & <max,"Mittaajankuja 2, 00220 Helsinki, Finland"
34,"(60.158, 24.917)",36,14,39.6,>75% & <max,>25% & <75%,"Mittaajankuja 4, 00220 Helsinki, Finland"
35,"(60.158, 24.953)",14,5,38.4,>25% & <75%,>25% & <75%,"Rådmansgatan 1, 00140 Helsingfors, Finland"
36,"(60.158, 24.961)",6,3,22.5,<25%,<25%,"Kalliolinnantie 16, 00140 Helsinki, Finland"
37,"(60.158, 24.913)",18,9,37.5625,>25% & <75%,>25% & <75%,"Malagagatan 2, 00220 Helsingfors, Finland"
38,"(60.158, 24.95)",33,13,32.15,>25% & <75%,>25% & <75%,"Neitsytpolku 7, 00140 Helsinki, Finland"
39,"(60.158, 24.911)",8,3,37.666666666666664,<25%,>25% & <75%,"Länsisatamankatu 20, 00220 Helsinki, Finland"
40,"(60.158, 24.958)",3,3,41.666666666666664,<25%,<25%,"Itäinen Puistotie 7, 00140 Helsinki, Finland"
41,"(60.158, 24.96)",13,3,31.333333333333332,<25%,>25% & <75%,"Itäinen Puistotie 10, 00140 Helsinki, Finland"
42,"(60.158, 24.959)",5,1,47.0,<25%,<25%,"Kalliolinnantie 18, 00140 Helsinki, Finland"
43,"(60.158, 24.91)",8,2,27.0,<25%,>25% & <75%,"Länsisatamankatu 23, 00180 Helsinki, Finland"
44,"(60.158, 24.954)",4,2,34.0,<25%,<25%,"Parkgatan 3c, 00140 Helsingfors, Finland"
45,"(60.163, 24.927)",107,38,31.993055555555554,>max,>max,"Kalevagatan 52, 00180 Helsingfors, Finland"
46,"(60.163, 24.946)",25,10,32.3,>25% & <75%,>25% & <75%,"Högbergsgatan 14, 00120 Helsingfors, Finland"
47,"(60.163, 24.913)",3,1,19.0,<25%,<25%,"Harmajankatu 2, 00180 Helsinki, Finland"
48,"(60.163, 24.938)",70,24,30.886363636363637,>max,>max,"Fredrikinkatu 22, 00120 Helsinki, Finland"
49,"(60.163, 24.948)",22,7,26.857142857142858,>25% & <75%,>25% & <75%,"Punanotkonkatu 1, 00130 Helsinki, Finland"
50,"(60.163, 24.928)",47,16,30.6,>75% & <max,>max,"Sandviksgatan 6, 00180 Helsingfors, Finland"
51,"(60.163, 24.945)",17,5,32.6,>25% & <75%,>25% & <75%,"Bangatan 2, 00120 Helsingfors, Finland"
52,"(60.163, 24.934)",27,18,32.07142857142857,>max,>25% & <75%,"Bulevardi 34, 00120 Helsinki, Finland"
53,"(60.163, 24.931)",69,17,31.266666666666666,>max,>max,"Abrahaminkatu 3, 00180 Helsinki, Finland"
54,"(60.163, 24.937)",88,27,34.56521739130435,>max,>max,"Uudenmaankatu 38, 00120 Helsinki, Finland"
55,"(60.163, 24.932)",34,12,38.35,>25% & <75%,>25% & <75%,"Bulevardi 35b, 00120 Helsinki, Finland"
56,"(60.163, 24.94)",50,19,32.71875,>max,>max,"Iso Roobertinkatu 23, 00120 Helsinki, Finland"
57,"(60.163, 24.924)",60,24,34.023809523809526,>max,>max,"Eriksgatan 52, 00180 Helsingfors, Finland"
58,"(60.163, 24.926)",112,37,27.78125,>max,>max,"Kalevagatan 54, 00180 Helsingfors, Finland"
59,"(60.163, 24.941)",48,16,35.333333333333336,>75% & <max,>max,"Iso Roobertinkatu 24a, 00120 Helsinki, Finland"
60,"(60.163, 24.92)",10,5,31.6,>25% & <75%,>25% & <75%,"Sandgatan 1, 00180 Helsingfors, Finland"
61,"(60.163, 24.925)",70,27,32.14,>max,>max,"Repslagaregatan 6, 00180 Helsingfors, Finland"
62,"(60.163, 24.93)",65,22,33.44117647058823,>max,>max,"Abrahaminkatu 5, 00180 Helsinki, Finland"
63,"(60.163, 24.935)",68,24,28.941666666666663,>max,>max,"Albertinkatu 23a, 00120 Helsinki, Finland"
64,"(60.163, 24.911)",12,4,31.0,>25% & <75%,>25% & <75%,"Loistokuja 4, 00180 Helsinki, Finland"
65,"(60.163, 24.943)",21,9,24.571428571428573,>25% & <75%,>25% & <75%,"Bangatan 13, 00120 Helsingfors, Finland"
66,"(60.163, 24.917)",6,4,23.25,>25% & <75%,<25%,"Santakuja 1, 00180 Helsinki, Finland"
67,"(60.163, 24.929)",29,10,36.111111111111114,>25% & <75%,>25% & <75%,"Lönnrotinkatu 34, 00180 Helsinki, Finland"
68,"(60.163, 24.942)",29,10,30.8125,>25% & <75%,>25% & <75%,"Annankatu a4, 00120 Helsinki, Finland"
69,"(60.163, 24.939)",50,17,33.666666666666664,>max,>max,"Fredrikinkatu 29, 00120 Helsinki, Finland"
70,"(60.163, 24.947)",28,9,40.0,>25% & <75%,>25% & <75%,"Punanotkonkatu 3, 00130 Helsinki, Finland"
71,"(60.163, 24.944)",9,4,33.75,>25% & <75%,>25% & <75%,"Bangatan 9, 00120 Helsingfors, Finland"
72,"(60.163, 24.951)",19,6,28.0,>25% & <75%,>25% & <75%,"Unionsgatan 2, 00130 Helsingfors, Finland"
73,"(60.163, 24.936)",70,30,31.02173913043478,>max,>max,"Uudenmaankatu 33, 00120 Helsinki, Finland"
74,"(60.163, 24.923)",22,8,36.5,>25% & <75%,>25% & <75%,"Gräsvikskajen 5, 00180 Helsingfors, Finland"
75,"(60.163, 24.933)",26,10,27.666666666666668,>25% & <75%,>25% & <75%,"Sinebrychoffinkatu 19, 00120 Helsinki, Finland"
76,"(60.163, 24.952)",15,2,33.0,<25%,>25% & <75%,"Bernhardinkatu 4, 00130 Helsinki, Finland"
77,"(60.163, 24.97)",17,6,39.0,>25% & <75%,>25% & <75%,"Skatuddskajen 8, 00160 Helsingfors, Finland"
78,"(60.163, 24.912)",16,6,40.333333333333336,>25% & <75%,>25% & <75%,"Harmajankatu 1, 00180 Helsinki, Finland"
79,"(60.163, 24.919)",13,4,34.333333333333336,>25% & <75%,>25% & <75%,"Rusokkikuja 1, 00180 Helsinki, Finland"
80,"(60.163, 24.915)",12,3,46.0,<25%,>25% & <75%,"Selkämerenkuja 1a, 00180 Helsinki, Finland"
81,"(60.163, 24.95)",6,3,36.666666666666664,<25%,<25%,"Kaartinkuja 1, 00130 Helsinki, Finland"
82,"(60.163, 24.916)",12,3,39.666666666666664,<25%,>25% & <75%,"Bottenhavsgatan 2, 00180 Helsingfors, Finland"
83,"(60.163, 24.949)",2,2,30.0,<25%,<25%,"Kaartinkuja 2, 00130 Helsinki, Finland"
84,"(60.163, 24.91)",6,2,46.5,<25%,<25%,"Kasuunikuja 2, 00180 Helsinki, Finland"
85,"(60.163, 24.914)",4,2,31.0,<25%,<25%,"Itämerenkuja 1, 00180 Helsinki, Finland"
86,"(60.163, 24.921)",6,1,27.0,<25%,<25%,"Sandgatan 2, 00180 Helsingfors, Finland"
87,"(60.163, 24.971)",2,1,44.0,<25%,<25%,"Skatuddskajen 8, 00160 Helsingfors, Finland"
88,"(60.163, 24.968)",1,1,22.0,<25%,<25%,"Skatuddskajen 8, 00160 Helsingfors, Finland"
89,"(60.161, 24.937)",122,38,30.732142857142858,>max,>max,"Punavuorenkatu 9, 00120 Helsinki, Finland"
90,"(60.161, 24.939)",62,22,30.622222222222224,>max,>max,"Sjömansgatan 23, 00150 Helsingfors, Finland"
91,"(60.161, 24.938)",66,33,32.3525641025641,>max,>max,"Albertinkatu 11, 00150 Helsinki, Finland"
92,"(60.161, 24.942)",69,22,26.7,>max,>max,"Laivurinrinne 2, 00120 Helsinki, Finland"
93,"(60.161, 24.953)",20,5,30.2,>25% & <75%,>25% & <75%,"Tähtitorninkatu 10, 00140 Helsinki, Finland"
94,"(60.161, 24.919)",29,12,40.13636363636363,>25% & <75%,>25% & <75%,"Laivapojankatu 3, 00220 Helsinki, Finland"
95,"(60.161, 24.917)",26,7,28.571428571428573,>25% & <75%,>25% & <75%,"Selkämerenpiha 3, 00180 Helsinki, Finland"
96,"(60.161, 24.925)",59,19,34.588235294117645,>max,>max,"Sandvikskajen 19c, 00180 Helsingfors, Finland"
97,"(60.161, 24.941)",68,29,27.847826086956523,>max,>max,"Sjömansgatan 8, 00120 Helsingfors, Finland"
98,"(60.161, 24.918)",34,10,38.27777777777778,>25% & <75%,>25% & <75%,"Selkämerenpiha 3, 00180 Helsinki, Finland"
99,"(60.161, 24.955)",18,9,40.8125,>25% & <75%,>25% & <75%,"Bergmansgatan 3, 00140 Helsingfors, Finland"
100,"(60.161, 24.923)",11,3,26.333333333333332,<25%,>25% & <75%,
101,"(60.161, 24.947)",48,18,35.8,>max,>max,"Tarkk'ampujankatu 4, 00140 Helsinki, Finland"
102,"(60.161, 24.935)",114,47,31.156565656565657,>max,>max,"Stenhuggaregatan 4, 00150 Helsingfors, Finland"
103,"(60.161, 24.94)",73,25,36.80833333333333,>max,>max,"Sjömansgatan 19, 00150 Helsingfors, Finland"
104,"(60.161, 24.943)",22,10,36.0,>25% & <75%,>25% & <75%,"Tarkk'ampujankatu 15, 00120 Helsinki, Finland"
105,"(60.161, 24.944)",48,18,33.28125,>max,>max,"Tarkk'ampujankatu 11, 00120 Helsinki, Finland"
106,"(60.161, 24.949)",5,3,28.333333333333332,<25%,<25%,"Kasarmikatu 9, 00140 Helsinki, Finland"
107,"(60.161, 24.911)",8,5,27.8,>25% & <75%,>25% & <75%,"Jaalaranta 9, 00180 Helsinki, Finland"
108,"(60.161, 24.931)",21,9,36.0,>25% & <75%,>25% & <75%,"Bulevardi 52, 00180 Helsinki, Finland"
109,"(60.161, 24.954)",45,15,30.291666666666668,>75% & <max,>max,"Tähtitorninkatu 8, 00140 Helsinki, Finland"
110,"(60.161, 24.93)",15,8,31.0,>25% & <75%,>25% & <75%,"Sandvikskajen 5c, 00120 Helsingfors, Finland"
111,"(60.161, 24.929)",11,6,29.7,>25% & <75%,>25% & <75%,"Sandvikskajen 8, 00120 Helsingfors, Finland"
112,"(60.161, 24.946)",73,27,30.604166666666668,>max,>max,"Tarkk'ampujankatu d6, 00150 Helsinki, Finland"
113,"(60.161, 24.948)",55,16,31.214285714285715,>75% & <max,>max,"Tarkk'ampujankatu 1, 00140 Helsinki, Finland"
114,"(60.161, 24.945)",39,13,34.31818181818182,>25% & <75%,>75% & <max,"Tarkk'ampujankatu 9, 00120 Helsinki, Finland"
115,"(60.161, 24.913)",15,9,33.5,>25% & <75%,>25% & <75%,"Jaalaranta 7, 00180 Helsinki, Finland"
116,"(60.161, 24.936)",114,39,31.21875,>max,>max,"Stenhuggaregatan 4, 00150 Helsingfors, Finland"
117,"(60.161, 24.928)",14,6,27.833333333333332,>25% & <75%,>25% & <75%,"Sandvikskajen 12, 00180 Helsingfors, Finland"
118,"(60.161, 24.912)",31,9,32.44444444444444,>25% & <75%,>25% & <75%,"Jaalaranta 7, 00180 Helsinki, Finland"
119,"(60.161, 24.933)",26,12,29.136363636363637,>25% & <75%,>25% & <75%,"Bulevardi 50, 00120 Helsinki, Finland"
120,"(60.161, 24.934)",52,19,28.98888888888889,>max,>max,
121,"(60.161, 24.922)",7,1,27.0,<25%,<25%,"Saukonkuja 1, 00220 Helsinki, Finland"
122,"(60.161, 24.924)",32,11,34.333333333333336,>25% & <75%,>25% & <75%,"Gräsvikskajen 1, 00180 Helsingfors, Finland"
123,"(60.161, 24.92)",11,2,31.5,<25%,>25% & <75%,"Skeppsgossegränden 7, 00220 Helsingfors, Finland"
124,"(60.161, 24.926)",39,16,34.06666666666667,>75% & <max,>75% & <max,"Sandvikskajen 18, 00180 Helsingfors, Finland"
125,"(60.161, 24.95)",1,1,25.0,<25%,<25%,"Tähtitorninkatu 3, 00140 Helsinki, Finland"
126,"(60.161, 24.927)",32,11,28.22222222222222,>25% & <75%,>25% & <75%,"Sandvikskajen 12, 00180 Helsingfors, Finland"
127,"(60.161, 24.916)",20,6,33.2,>25% & <75%,>25% & <75%,"Bottenhavsgatan 12, 00180 Helsingfors, Finland"
128,"(60.161, 24.952)",16,3,33.0,<25%,>25% & <75%,"Tähtitorninkatu 7, 00140 Helsinki, Finland"
129,"(60.161, 24.91)",6,3,31.333333333333332,<25%,<25%,"Kellosaarenranta 5, 00180 Helsinki, Finland"
130,"(60.161, 24.932)",14,5,25.2,>25% & <75%,>25% & <75%,"Bulevardi 50, 00120 Helsinki, Finland"
131,"(60.161, 24.915)",5,4,21.0,>25% & <75%,<25%,"Messitytönkatu 1c, 00180 Helsinki, Finland"
132,"(60.161, 24.951)",18,4,34.0,>25% & <75%,>25% & <75%,"Tähtitorninkatu 14, 00140 Helsinki, Finland"
133,"(60.161, 24.909)",5,1,44.0,<25%,<25%,"Kellosaarenranta 7, 00180 Helsinki, Finland"
134,"(60.161, 24.921)",6,2,23.0,<25%,<25%,"Saukonkuja 1, 00220 Helsinki, Finland"
135,"(60.161, 24.957)",1,1,20.0,<25%,<25%,
136,"(60.161, 24.956)",1,1,23.0,<25%,<25%,"Bergmansgatan 1, 00140 Helsingfors, Finland"
137,"(60.161, 24.914)",1,1,30.0,<25%,<25%,"Jaalaranta 2, 00180 Helsinki, Finland"
138,"(60.185, 24.954)",55,20,30.65625,>max,>max,"Agricolankuja 6, 00101 Helsinki, Finland"
139,"(60.185, 24.916)",46,18,30.055555555555554,>max,>max,"Linnankoskenkatu 14, 00250 Helsinki, Finland"
140,"(60.185, 24.912)",18,7,35.285714285714285,>25% & <75%,>25% & <75%,"Linnankoskenkatu 23, 00250 Helsinki, Finland"
141,"(60.185, 24.919)",43,22,31.657894736842106,>max,>75% & <max,"Linnankoskenkatu 8a, 00250 Helsinki, Finland"
142,"(60.185, 24.947)",62,25,31.245614035087716,>max,>max,"Castréninkatu 7, 00530 Helsinki, Finland"
143,"(60.185, 24.943)",33,12,33.666666666666664,>25% & <75%,>25% & <75%,"Kolmas linja 35, 00530 Helsinki, Finland"
144,"(60.185, 24.911)",8,3,35.0,<25%,>25% & <75%,"Lastenlinnantie 11, 00250 Helsinki, Finland"
145,"(60.185, 24.953)",117,44,32.56372549019608,>max,>max,"Fleminginkatu 6, 00530 Helsinki, Finland"
146,"(60.185, 24.944)",50,18,33.233333333333334,>max,>max,"Wallininkuja 6, 00530 Helsinki, Finland"
147,"(60.185, 24.96)",76,32,31.141025641025642,>max,>max,"Hämeentie 38, 00500 Helsinki, Finland"
148,"(60.185, 24.917)",40,18,34.4,>max,>75% & <max,"Topeliusgatan 25, 00250 Helsingfors, Finland"
149,"(60.185, 24.921)",23,8,39.0,>25% & <75%,>25% & <75%,"Hummelgatan 2c, 00250 Helsingfors, Finland"
150,"(60.185, 24.941)",35,14,30.916666666666668,>75% & <max,>25% & <75%,"Alpgatan 5a, 00530 Helsingfors, Finland"
151,"(60.185, 24.959)",104,33,30.94871794871795,>max,>max,"Sakarinkatu 3b, 00500 Helsinki, Finland"
152,"(60.185, 24.956)",48,20,33.06666666666667,>max,>max,"Torkelsgatan 17, 00500 Helsingfors, Finland"
153,"(60.185, 24.915)",35,13,34.53846153846154,>25% & <75%,>25% & <75%,"Linnankoskenkatu 16, 00250 Helsinki, Finland"
154,"(60.185, 24.961)",53,24,35.73684210526316,>max,>max,"Hämeentie 17a, 00500 Helsinki, Finland"
155,"(60.185, 24.952)",89,30,29.95679012345679,>max,>max,"Karlsgatan 5, 00530 Helsingfors, Finland"
156,"(60.185, 24.918)",30,10,34.27777777777778,>25% & <75%,>25% & <75%,"Tölögatan 56, 00250 Helsingfors, Finland"
157,"(60.185, 24.914)",23,9,33.5625,>25% & <75%,>25% & <75%,"Kajanusgatan 12, 00250 Helsingfors, Finland"
158,"(60.185, 24.922)",21,10,33.27777777777778,>25% & <75%,>25% & <75%,"Mannerheimintie 76a, 00250 Helsinki, Finland"
159,"(60.185, 24.946)",70,23,29.575,>max,>max,"Castréninkatu 14, 00530 Helsinki, Finland"
160,"(60.185, 24.963)",52,19,30.65625,>max,>max,"Lintulahdenaukio 10, 00500 Helsinki, Finland"
161,"(60.185, 24.958)",60,27,30.534722222222225,>max,>max,"Pengerkatu 14, 00500 Helsinki, Finland"
162,"(60.185, 24.942)",52,15,31.76923076923077,>75% & <max,>max,"Kolmas linja 36, 00530 Helsinki, Finland"
163,"(60.185, 24.94)",9,4,27.5,>25% & <75%,>25% & <75%,"Alpgatan 2a, 00530 Helsingfors, Finland"
164,"(60.185, 24.957)",38,16,36.25,>75% & <max,>75% & <max,"Pengerkatu 12, 00500 Helsinki, Finland"
165,"(60.185, 24.92)",52,18,31.95138888888889,>max,>max,"Hummelgatan 3, 00250 Helsingfors, Finland"
166,"(60.185, 24.951)",45,15,31.560606060606062,>75% & <max,>max,"Agricolagatan 15, 00530 Helsingfors, Finland"
167,"(60.185, 24.965)",31,8,33.0,>25% & <75%,>25% & <75%,"Käenkuja 5, 00500 Helsinki, Finland"
168,"(60.185, 24.968)",1,1,40.0,<25%,<25%,"4 20, 00540 Helsinki, Finland"
169,"(60.185, 24.945)",30,14,27.545454545454547,>75% & <max,>25% & <75%,"Wallininkuja 3, 00530 Helsinki, Finland"
170,"(60.185, 24.949)",8,5,37.0,>25% & <75%,>25% & <75%,"Läntinen Papinkatu 8, 00530 Helsinki, Finland"
171,"(60.185, 24.913)",15,6,30.833333333333332,>25% & <75%,>25% & <75%,"Linnankoskenkatu 20, 00250 Helsinki, Finland"
172,"(60.185, 24.923)",13,5,33.625,>25% & <75%,>25% & <75%,"Mannerheimintie 25a, 00250 Helsinki, Finland"
173,"(60.185, 24.955)",59,19,31.058823529411764,>max,>max,"Torkelsgränd 4, 00500 Helsingfors, Finland"
174,"(60.185, 24.95)",4,4,25.25,>25% & <75%,<25%,"Agricolagatan 15, 00530 Helsingfors, Finland"
175,"(60.185, 24.962)",44,18,35.23809523809524,>max,>75% & <max,"Lintulahdenaukio 8a, 00500 Helsinki, Finland"
176,"(60.185, 24.948)",31,9,30.9375,>25% & <75%,>25% & <75%,"Castréninkatu 13, 00530 Helsinki, Finland"
177,"(60.185, 24.924)",5,3,36.666666666666664,<25%,<25%,"Urheilukatu 6, 00250 Helsinki, Finland"
178,"(60.185, 24.967)",4,2,41.0,<25%,<25%,"4 20, 00540 Helsinki, Finland"
179,"(60.185, 24.966)",24,10,36.9,>25% & <75%,>25% & <75%,"Käenkuja 23, 00500 Helsinki, Finland"
180,"(60.185, 24.979)",3,2,30.5,<25%,<25%,"Antareksenkatu 1, 00540 Helsinki, Finland"
181,"(60.185, 24.964)",16,7,38.0,>25% & <75%,>25% & <75%,"Lintulahdenaukio 12, 00500 Helsinki, Finland"
182,"(60.185, 24.978)",1,1,44.0,<25%,<25%,"Antareksenkatu 1, 00540 Helsinki, Finland"
183,"(60.185, 24.973)",3,2,18.5,<25%,<25%,"Parrukatu 4, 00540 Helsinki, Finland"
184,"(60.185, 24.972)",4,1,19.0,<25%,<25%,"Parrukatu 4, 00540 Helsinki, Finland"
185,"(60.185, 24.98)",4,1,47.0,<25%,<25%,"Junonkatu 1, 00540 Helsinki, Finland"
186,"(60.182, 24.955)",52,25,30.75,>max,>max,"Hämeentie 18, 00530 Helsinki, Finland"
187,"(60.182, 24.978)",45,15,33.61538461538461,>75% & <max,>max,"Flöitti Dianan Kuja 4, 00540 Helsinki, Finland"
188,"(60.182, 24.956)",35,15,31.416666666666668,>75% & <max,>25% & <75%,"Hämeentie 9, 00530 Helsinki, Finland"
189,"(60.182, 24.948)",24,13,32.7,>25% & <75%,>25% & <75%,"Toinen linja 11b, 00530 Helsinki, Finland"
190,"(60.182, 24.952)",67,22,33.611111111111114,>max,>max,"Porthaninkatu 5, 00530 Helsinki, Finland"
191,"(60.182, 24.957)",27,11,29.5,>25% & <75%,>25% & <75%,"Aspnäsgatan 2, 00530 Helsingfors, Finland"
192,"(60.182, 24.92)",45,18,38.34375,>max,>max,"Topeliusgatan 7a, 00250 Helsingfors, Finland"
193,"(60.182, 24.958)",53,22,31.03125,>max,>max,"Aspnäsgatan 4, 00530 Helsingfors, Finland"
194,"(60.182, 24.954)",50,23,34.3421052631579,>max,>max,"Neljäs linja 3a, 00530 Helsinki, Finland"
195,"(60.182, 24.942)",36,9,28.4375,>25% & <75%,>25% & <75%,"Ensi linja 2, 00530 Helsinki, Finland"
196,"(60.182, 24.946)",35,12,32.95454545454545,>25% & <75%,>25% & <75%,"Toinen linja 6, 00530 Helsinki, Finland"
197,"(60.182, 24.976)",70,20,38.05882352941177,>max,>max,"Sompasaarenlaituri 6, 00540 Helsinki, Finland"
198,"(60.182, 24.95)",56,22,29.63157894736842,>max,>max,"Kolmas linja 11b, 00530 Helsinki, Finland"
199,"(60.182, 24.949)",29,11,33.27272727272727,>25% & <75%,>25% & <75%,"Broholmsgatan 24, 00530 Helsingfors, Finland"
200,"(60.182, 24.951)",58,26,32.43333333333334,>max,>max,"Porthaninkatu 4b, 00530 Helsinki, Finland"
201,"(60.182, 24.953)",62,25,28.59166666666667,>max,>max,"Neljäs linja 4d, 00530 Helsinki, Finland"
202,"(60.182, 24.947)",56,26,35.95238095238095,>max,>max,"Toinen linja 6, 00530 Helsinki, Finland"
203,"(60.182, 24.923)",23,10,31.666666666666668,>25% & <75%,>25% & <75%,"Tölögatan 37, 00260 Helsingfors, Finland"
204,"(60.182, 24.922)",18,8,27.625,>25% & <75%,>25% & <75%,"Sibeliusgatan 10, 00260 Helsingfors, Finland"
205,"(60.182, 24.925)",19,10,38.333333333333336,>25% & <75%,>25% & <75%,"Ruusulankatu 5, 00260 Helsinki, Finland"
206,"(60.182, 24.941)",3,2,30.5,<25%,<25%,"Eläintarhantie 9, 00530 Helsinki, Finland"
207,"(60.182, 24.945)",23,9,29.0,>25% & <75%,>25% & <75%,"Toinen linja 19, 00530 Helsinki, Finland"
208,"(60.182, 24.924)",28,11,31.333333333333332,>25% & <75%,>25% & <75%,"Ruusulankatu 8a, 00260 Helsinki, Finland"
209,"(60.182, 24.977)",32,10,30.77777777777778,>25% & <75%,>25% & <75%,"Priki Venuksen Kuja 5, 00540 Helsinki, Finland"
210,"(60.182, 24.919)",26,7,30.25,>25% & <75%,>25% & <75%,"Välskärinkatu 16, 00250 Helsinki, Finland"
211,"(60.182, 24.96)",14,4,28.5,>25% & <75%,>25% & <75%,"Ekogatan 5, 00530 Helsingfors, Finland"
212,"(60.182, 24.944)",20,4,33.5,>25% & <75%,>25% & <75%,"Ensi linja 2, 00530 Helsinki, Finland"
213,"(60.182, 24.921)",11,7,30.666666666666668,>25% & <75%,>25% & <75%,"Sibeliusgatan 11a, 00250 Helsingfors, Finland"
214,"(60.182, 24.926)",14,5,36.4,>25% & <75%,>25% & <75%,"Mannerheimintie 62a, 00260 Helsinki, Finland"
215,"(60.182, 24.915)",3,3,32.333333333333336,<25%,<25%,
216,"(60.182, 24.911)",1,1,35.0,<25%,<25%,"Råholmsbanken 2, 00250 Helsingfors, Finland"
217,"(60.182, 24.979)",14,4,30.25,>25% & <75%,>25% & <75%,"Aallonhalkoja 3, 00540 Helsinki, Finland"
218,"(60.182, 24.918)",5,5,31.8,>25% & <75%,<25%,"Välskärinkatu 16, 00250 Helsinki, Finland"
219,"(60.182, 24.959)",9,4,29.0,>25% & <75%,>25% & <75%,"Ekogatan 3a, 00530 Helsingfors, Finland"
220,"(60.182, 24.914)",4,2,34.5,<25%,<25%,
221,"(60.182, 24.943)",26,8,30.357142857142858,>25% & <75%,>25% & <75%,"Ensi linja 2, 00530 Helsinki, Finland"
222,"(60.182, 24.975)",10,3,31.0,<25%,>25% & <75%,"Sompasaarenlaituri 6, 00540 Helsinki, Finland"
223,"(60.182, 24.913)",14,4,39.25,>25% & <75%,>25% & <75%,
224,"(60.182, 24.974)",4,1,45.0,<25%,<25%,"Sompasaarenlaituri 10, 00540 Helsinki, Finland"
